old_precinct_id,current_precinct_id,population_2020,housing_units_2020,land_area_sq_m_2020,census_block_count,old_population_2020,old_housing_units_2020,old_land_area_sq_m_2020,allocation_weight,weight_basis,source_piece_count,target_source_count
BOS-11-7,BOS-11-7,2307,1030,387777,16,2307,1030,387777,1.0,2020 population,1,1
BOS-11-8,BOS-11-8,2780,1596,557107,25,2780,1596,557107,1.0,2020 population,1,2
BOS-11-9,BOS-11-9,1263,632,179387,14,1263,632,179387,1.0,2020 population,1,1
BOS-12-1,BOS-12-1,2742,1091,403948,23,2742,1091,403948,1.0,2020 population,1,1
BOS-12-2,BOS-12-2,3548,1498,372700,23,3548,1498,372700,1.0,2020 population,1,1
BOS-12-3,BOS-12-3,1480,594,199775,15,1480,594,199775,1.0,2020 population,1,1
BOS-12-4,BOS-12-4,2065,906,218911,8,2065,906,218911,1.0,2020 population,1,1
BOS-12-5,BOS-12-5,1075,463,156805,9,1075,463,156805,1.0,2020 population,1,1
BOS-12-6,BOS-12-6,1582,603,200407,14,1582,603,200407,1.0,2020 population,1,1
BOS-12-7,BOS-12-7,4337,1732,2323788,33,4350,1735,2345674,0.99701149,2020 population,4,1
BOS-12-7,BOS-12-8,0,0,2200,1,4350,1735,2345674,0.0,2020 population,4,2
BOS-12-7,BOS-14-3,13,3,8193,4,4350,1735,2345674,0.00298851,2020 population,4,2
BOS-12-7,BOS-19-7,0,0,11493,1,4350,1735,2345674,0.0,2020 population,4,2
BOS-12-8,BOS-12-8,1602,620,184526,17,1602,620,184526,1.0,2020 population,1,2
BOS-12-9,BOS-12-9,1639,683,193221,10,1639,683,193221,1.0,2020 population,1,1
BOS-13-1,BOS-13-1,2889,987,258475,31,2889,987,258475,1.0,2020 population,1,1
BOS-13-10,BOS-13-10,2422,1133,958033,25,2422,1133,958033,1.0,2020 population,2,2
BOS-13-10,BOS-16-2,0,0,0,1,2422,1133,958033,0.0,2020 population,2,2
BOS-13-2,BOS-13-2,962,349,112945,9,962,349,112945,1.0,2020 population,1,1
BOS-13-3,BOS-13-3,3949,2013,1046058,31,3949,2013,1057570,1.0,2020 population,2,1
BOS-13-3,BOS-13-7,0,0,11512,1,3949,2013,1057570,0.0,2020 population,2,2
BOS-13-4,BOS-13-4,1881,635,232815,13,1881,635,232815,1.0,2020 population,1,1
BOS-13-5,BOS-13-5,1708,671,187263,15,1708,671,187263,1.0,2020 population,1,1
BOS-13-6,BOS-13-6,2097,836,182184,12,2097,836,182184,1.0,2020 population,1,1
BOS-13-7,BOS-07-8,0,0,2465,1,2200,1005,185061,0.0,2020 population,2,2
BOS-13-7,BOS-13-7,2200,1005,182596,13,2200,1005,185061,1.0,2020 population,2,2
BOS-13-8,BOS-13-8,2015,820,171219,11,2015,820,171219,1.0,2020 population,1,1
BOS-13-9,BOS-13-9,1981,858,196664,15,1981,858,196664,1.0,2020 population,1,1
BOS-14-1,BOS-14-1,4953,1699,574046,27,4953,1699,575544,1.0,2020 population,2,1
BOS-14-1,BOS-15-1,0,0,1498,1,4953,1699,575544,0.0,2020 population,2,2
BOS-14-10,BOS-14-10,2255,773,522443,17,2255,773,522443,1.0,2020 population,1,1
BOS-14-11,BOS-14-11,2417,810,371679,21,2417,810,371679,1.0,2020 population,1,1
BOS-14-12,BOS-14-12,1309,453,173091,21,1309,453,173091,1.0,2020 population,1,1
BOS-14-13,BOS-14-13,1765,627,202183,17,1765,627,202183,1.0,2020 population,1,1
BOS-14-14,BOS-14-14,2186,776,272039,19,2186,776,272039,1.0,2020 population,1,1
BOS-14-2,BOS-14-2,4628,1554,486471,35,4628,1554,486471,1.0,2020 population,1,1
BOS-14-3,BOS-14-3,2199,912,206389,17,2228,913,208194,0.98698384,2020 population,2,2
BOS-14-3,BOS-14-6,29,1,1805,1,2228,913,208194,0.01301616,2020 population,2,2
BOS-14-4,BOS-14-4,2677,963,306755,19,2677,963,306755,1.0,2020 population,1,1
BOS-14-5,BOS-14-5,2157,740,213164,16,2157,740,213164,1.0,2020 population,1,1
BOS-14-6,BOS-14-6,2009,740,170353,14,2009,740,170353,1.0,2020 population,1,2
BOS-14-7,BOS-14-7,2132,835,225490,13,2132,835,225490,1.0,2020 population,1,1
BOS-14-8,BOS-14-8,1828,665,957594,19,1828,665,957594,1.0,2020 population,1,1
BOS-14-9,BOS-14-9,2428,900,217037,12,2428,900,217037,1.0,2020 population,1,1
BOS-15-1,BOS-15-1,2737,1003,307439,23,2737,1003,307439,1.0,2020 population,1,2
BOS-15-2,BOS-15-2,2036,730,179546,17,2036,730,179546,1.0,2020 population,1,1
BOS-15-3,BOS-15-3,1307,509,134341,8,1307,509,134341,1.0,2020 population,1,1
BOS-15-4,BOS-15-4,3237,1143,318319,20,3656,1334,358669,0.88539387,2020 population,2,1
BOS-15-4,BOS-15-6,419,191,40350,5,3656,1334,358669,0.11460613,2020 population,2,2
BOS-15-5,BOS-15-5,2439,811,194475,18,2439,811,194475,1.0,2020 population,1,1
BOS-15-6,BOS-15-6,1485,575,348059,17,1485,575,348059,1.0,2020 population,1,2
BOS-15-7,BOS-15-7,1987,653,135567,7,1987,653,135567,1.0,2020 population,1,1
BOS-15-8,BOS-15-8,1804,643,176978,14,1804,643,176978,1.0,2020 population,1,1
BOS-15-9,BOS-15-9,1895,733,203384,11,1895,733,203384,1.0,2020 population,1,1
BOS-16-1,BOS-16-1,2142,823,296743,16,2142,823,296743,1.0,2020 population,1,1
BOS-16-10,BOS-16-10,2179,982,803436,39,2179,982,803436,1.0,2020 population,1,1
BOS-16-11,BOS-16-11,1138,493,644228,13,2092,867,791286,0.54397706,2020 population,2,1
BOS-16-11,BOS-16-8,954,374,147058,13,2092,867,791286,0.45602294,2020 population,2,2
BOS-16-12,BOS-16-12,1590,768,702480,24,1590,768,709988,1.0,2020 population,2,1
BOS-16-12,BOS-16-9,0,0,7508,3,1590,768,709988,0.0,2020 population,2,2
BOS-16-2,BOS-13-10,0,0,0,1,1378,551,890423,0.0,2020 population,2,2
BOS-16-2,BOS-16-2,1378,551,890423,43,1378,551,890423,1.0,2020 population,2,2
BOS-16-3,BOS-16-3,2518,955,254856,20,2518,955,254856,1.0,2020 population,1,1
BOS-16-4,BOS-16-4,2317,813,190438,16,2317,813,190438,1.0,2020 population,1,1
BOS-16-5,BOS-16-5,2315,957,296464,18,2315,957,296464,1.0,2020 population,1,1
BOS-16-6,BOS-16-6,3150,1298,264476,17,3150,1298,264476,1.0,2020 population,1,1
BOS-16-7,BOS-16-7,1743,756,285734,18,1743,756,285734,1.0,2020 population,1,1
BOS-16-8,BOS-16-8,2088,914,335262,25,2088,914,335262,1.0,2020 population,1,2
BOS-16-9,BOS-16-9,2131,981,355527,21,2131,981,355527,1.0,2020 population,1,2
BOS-17-1,BOS-17-1,2204,724,227754,20,2204,724,227754,1.0,2020 population,1,1
BOS-17-10,BOS-17-10,2626,997,302125,17,2626,997,302125,1.0,2020 population,1,3
BOS-17-11,BOS-17-11,984,441,100937,5,984,441,100937,1.0,2020 population,1,1
BOS-17-12,BOS-17-12,1417,495,211945,17,1417,495,211945,1.0,2020 population,1,1
BOS-17-13,BOS-17-13,1796,1064,717891,19,1796,1064,717891,1.0,2020 population,1,1
BOS-17-14,BOS-17-14,1681,808,367251,16,1681,808,367251,1.0,2020 population,2,1
BOS-17-14,BOS-18-1,0,0,0,1,1681,808,367251,0.0,2020 population,2,2
BOS-17-2,BOS-17-2,1393,482,137481,5,1393,482,137481,1.0,2020 population,1,1
BOS-17-3,BOS-17-3,2933,1075,379900,24,2933,1075,379900,1.0,2020 population,1,1
BOS-17-4,BOS-17-4,2952,1105,468286,25,2952,1105,468286,1.0,2020 population,1,1
BOS-17-5,BOS-17-5,1786,606,190619,18,1786,606,190619,1.0,2020 population,1,1
BOS-17-6,BOS-17-6,2018,834,277764,16,2018,834,277764,1.0,2020 population,1,1
BOS-17-7,BOS-17-7,1363,452,187365,11,1363,452,187365,1.0,2020 population,1,1
BOS-17-8,BOS-17-8,2007,730,318552,10,2007,730,318552,1.0,2020 population,1,1
BOS-17-9,BOS-17-9,1290,585,227227,11,1290,585,227227,1.0,2020 population,1,1
BOS-18-1,BOS-17-10,0,0,888,1,3423,1398,793666,0.0,2020 population,2,3
BOS-18-1,BOS-18-1,3423,1398,792778,24,3423,1398,793666,1.0,2020 population,2,2
BOS-18-10,BOS-18-10,2917,1219,540130,21,2917,1219,540130,1.0,2020 population,1,1
BOS-18-11,BOS-18-11,2392,1043,1153191,16,2392,1043,1153191,1.0,2020 population,1,1
BOS-18-12,BOS-18-12,2367,920,1531620,27,2367,920,1531620,1.0,2020 population,1,1
BOS-18-13,BOS-18-13,1636,578,323760,19,1636,578,323760,1.0,2020 population,1,1
BOS-18-14,BOS-18-14,1648,569,361183,15,1648,569,361183,1.0,2020 population,1,1
BOS-18-15,BOS-18-15,2540,935,528697,23,2540,935,528697,1.0,2020 population,1,1
BOS-18-16,BOS-18-16,2413,856,785594,35,2413,856,785594,1.0,2020 population,1,1
BOS-18-17,BOS-18-17,2430,906,624272,25,2430,906,624272,1.0,2020 population,1,1
BOS-18-18,BOS-18-18,2983,1427,884453,40,2983,1427,884453,1.0,2020 population,1,1
BOS-18-19,BOS-18-19,3759,1364,1884359,41,3759,1364,1884359,1.0,2020 population,1,1
BOS-18-2,BOS-17-10,0,0,1829,1,2462,989,423566,0.0,2020 population,2,3
BOS-18-2,BOS-18-2,2462,989,421737,17,2462,989,423566,1.0,2020 population,2,1
BOS-18-20,BOS-18-20,3467,1387,1692713,54,3467,1387,1692713,1.0,2020 population,1,1
BOS-18-21,BOS-18-21,3109,1320,702680,30,3109,1320,702680,1.0,2020 population,1,1
BOS-18-22,BOS-18-22,2214,857,703027,23,2214,857,703027,1.0,2020 population,1,1
BOS-18-23,BOS-18-23,2995,1312,511719,11,2995,1312,511719,1.0,2020 population,1,1
BOS-18-3,BOS-18-3,2810,1026,792209,22,2810,1026,792209,1.0,2020 population,1,1
BOS-18-4,BOS-18-4,2958,1125,577907,33,2958,1125,577907,1.0,2020 population,1,1
BOS-18-5,BOS-18-5,2464,967,450683,26,2464,967,450683,1.0,2020 population,1,1
BOS-18-6,BOS-18-6,2800,963,516840,34,2800,963,516840,1.0,2020 population,1,1
BOS-18-7,BOS-18-7,2365,863,1365503,27,2365,863,1365503,1.0,2020 population,1,1
BOS-18-8,BOS-18-8,3961,1612,1089339,31,3961,1612,1089339,1.0,2020 population,1,1
BOS-18-9,BOS-18-9,2035,836,494034,16,2035,836,494034,1.0,2020 population,1,1
BOS-19-1,BOS-19-1,1760,800,170016,9,1760,800,170016,1.0,2020 population,1,1
BOS-19-10,BOS-19-10,2571,1048,477168,25,2571,1048,477168,1.0,2020 population,1,1
BOS-19-11,BOS-19-11,2673,1014,263798,11,2673,1014,263798,1.0,2020 population,1,1
BOS-19-12,BOS-19-12,1592,731,325659,23,1592,731,325659,1.0,2020 population,1,1
BOS-19-13,BOS-19-13,1642,676,252451,12,1642,676,252451,1.0,2020 population,1,1
BOS-19-2,BOS-19-2,2223,766,2340573,44,2223,766,2340573,1.0,2020 population,1,2
BOS-19-3,BOS-10-9,9,8,1000,1,1469,707,516138,0.00612662,2020 population,3,2
BOS-19-3,BOS-19-3,1070,518,468950,18,1469,707,516138,0.72838666,2020 population,3,1
